Book,Author,ISBN
Live; live; live,Jonathan Buckley,978-1681375472
The Great Concert of the Night,Jonathan Buckley,978-1681373959
Moderan,David R. Bunch,978-1681372549
Bel Ria,Sheila Burnford,978-1681374475
The Gallery,John Horne Burns,978-1590170809
The Anatomy of Melancholy,Robert Burton,978-0940322660
The Wages of Guilt,Ian Buruma,978-1590178584
Theater of Cruelty,Ian Buruma,978-1590177778
Nancy and Sluggo's Guide to Life,Ernie; Kitchen Denis Bushmiller,978-1681378367
Poem Strip,Dino Buzzati,978-1590173237
The Singularity,Dino; Appel Anne Milano Buzzati,978-1681378008
A Love Affair,Dino; Green Joseph Buzzati,978-1681377124
The Stronghold,Dino; Venuti Lawrence Buzzati,978-1681377148
Distant Ruptures,Sammy; Winslow-Yost Gabriel C. F; Harkham,978-1681378695
Free Day,Inès; Schillinger Liesl Cagnati,978-1681373584
Blast Off,Linda C.; Rosenbaum Susan; Dillon Diane; Dillon Leo Cain,978-1681375687
The Life and Opinions of Zacharias Lichter,Matei Calinescu,978-1681371955
The Unforgivable,Cristina; Andriesse Alex Campo,978-1681378022
The Book of My Life,Girolamo Cardano,978-1590170168
The Tiger in the House,Carl Van Vechten,978-1590172230
Hard Rain Falling,Don Carpenter,978-1590173244
A Month in the Country,J.L. Carr,978-0940322479
Down Below,Leonora Carrington,978-1681370606
The Milk of Dreams,Leonora Carrington,978-1681370941
The Hearing Trumpet,Leonora; Tokarczuk Olga; Weisz Carrington Pablo Carrington,978-1681374642
Alice’s Adventures in Wonderland,Lewis; Jansson Tove Carroll,978-1681378459
The Hive,Camilo José; Womack James William Cela,978-1681376158
Moravagine,Blaise Cendrars,978-1590170632
Little Reunions,Eileen Chang,978-1681371276
Love in a Fallen City,Eileen Chang,978-1590171783
Naked Earth,Eileen Chang,978-1590178348
Dime-Store Alchemy,Charles Simic,978-1590174869
Arm in Arm,Remy Charlip,978-1681373737
Thirteen,Remy; Joyner Jerry Charlip,978-1681372303
During the Reign of the Queen of Persia,Joan Chase,978-1590177150
Loretta Mason Potts,Mary; Berson Harold Chase,978-1590177570
"English, August",Upamanyu Chatterjee,978-1590171790
The Autobiography of an Unknown Indian,Nirad C. Chaudhari,978-0940322820
Finding the Raga,Amit Chaudhuri,978-1681374789
Friend of My Youth,Amit Chaudhuri,978-1681373386
Sojourn,Amit Chaudhuri,978-1681377087
Sweet Shop: New and Selected Poems,Amit Chaudhuri,978-1681377001
Freedom Song,Amit; Doniger Wendy Chaudhuri,978-1681378060
A Strange and Sublime Address,Amit; Tóibín Colm Chaudhuri,978-1681378084
Afternoon Raag,Amit; Wood James Chaudhuri,978-1681378046
Black Wings Has My Angel,Elliott Chaze,978-1590179161
Peasants and Other Stories,Anton Chekhov,978-0940322141
The Prank,Anton Chekhov,978-1590178362
The Tiger Prince,Jianghong; Waters Ayson Chen,978-1681372945
Fear,Gabriel Chevallier,978-1590177167
The Simple Past,Driss; Shatz Adam; Harter Hugh A. Chraïbi,978-1681373607
A Dictionary of Symbols,Juan Eduardo Cirlot,978-1681371979
The Green Hand and Other Stories,Nicole; Zha Édith; Clowes Daniel; Nicholson-Smith Donald Claveloux,978-1681376684
Paris Vagabond,Jean-Paul Clebert,978-1590179574
Generations,Lucille Clifton,978-1681375878
Paris and Elsewhere,Richard Cobb,978-1590170823
The Netanyahus,Joshua Cohen,978-1681376073
A Chance Meeting,Rachel and Seshadri Vijay Cohen,978-1681378107
Orphic Paris,Henri Cole,978-1681372181
The Pure and the Impure,Colette,978-0940322486
Cheerful,Paul; Thurman Judith; Colette Colette; Eprile,978-1590175019
Chéri and The End of Chéri,Paul; Thurman Judith; Colette Colette; Eprile,978-1681376707
Fancies and Goodnights,John Collier,978-1590170519
Pinocchio,Carlo Collodi,978-1590172896
A House and Its Head,Ivy Compton-Burnett,978-0940322646
Manservant and Maidservant,Ivy Compton-Burnett,978-0940322639
The Continuous Katherine Mortenhoe,D.G. Compton,978-1590179710
Our Spoons Came from Woolworths,Barbara Comyns,978-1590178966
The Juniper Tree,Barbara Comyns,978-1681371313
The Vet's Daughter,Barbara Comyns,978-1590170298
The Exploits and Adventures of Brigadier Gerard,Arthur Conan Doyle,978-0940322738
The Diary of a Rapist,Evan S. Connell,978-1590170946
Proud Beggars,Albert Cossery,978-1590174425
The Jokers,Albert Cossery,978-1590173251
The Age of Conversation,Benedetta Craveri,978-1590172148
The Last Libertines,Benedetta; Kerner Aaron Craveri,978-1681373409
The Crisis of the Negro Intellectual,Harold Cruse,978-1590171356
The Enormous Room,Edward E.; Delbanco Nicholas Cummings,978-1681376196
Inhuman Land,Jozef Czapski,978-1681372563
Lost Time,Jozef Czapski,978-1681372587
Memories of Starobielsk,Józef; Grudzińska-Gross Irena; Valles Alissa Czapski,978-1681374864
D'Aulaires' Book of Animals,Ingri; D'Aulaire Edgar Parin D'Aulaire,978-1590172261
D'Aulaires' Book of Norse Myths,Ingri; D'Aulaire Edgar Parin D'Aulaire,978-1590171257
D'Aulaires' Book of Trolls,Ingri; D'Aulaire Edgar Parin D'Aulaire,978-1590172179
The Terrible Troll-Bird,Ingri; D'Aulaire Edgar Parin D'Aulaire,978-1590172520
Too Big,Ingri; D'Aulaire Edgar Parin D'Aulaire,978-1590172919
The Glory of the Empire,Jean d'Ormesson,978-1590179659
Memoirs of Lorenzo Da Ponte,Lornezo Da Ponte,978-0940322356
The Inferno,Dante,978-1590171141
The New Life,Dante,978-1681370514
Purgatorio,D. M. Dante Alighieri; Black,978-1681376059
Exhausted on the Cross,Naǧwān; Zurita Raúl Darwīš,978-1681375526
Nothing More to Lose,Najwān; Abu-Zeid Kareem James Darwīsh,978-1590177303
A Book of Mediterranean Food,Elizabeth David,978-1590170038
Summer Cooking,Elizabeth David,978-1590170045
A Meaningful Life,L.J. Davis,978-1590173008
"Alfred Ollivant's Bob, Son of Battle",Lydia; Ollivant Alfred; Kirmse Marguerite Davis,978-1590177297
Memoirs from Beyond the Grave: 1768-1800,Francois-Rene de Chateaubriand,978-1681371290
Letters from Russia,Astolphe de Custine,978-0940322813
Pages from the Goncourt Journals,Edmond & Jules de Goncourt,978-1590171905
Afloat,Guy de Maupassant,978-1590172599
