Book,Author,ISBN
Junket Is Nice,Dorothy Kunhardt,978-1590176283
Now Open the Box,Dorothy Kunhardt,978-1590177082
Masters of the Nefarious,Pierre; Burns Luke La Police,978-1681378343
When We Cease to Understand the World,Benjamín; West Adrian Nathan Labatut,978-1681375663
Love Sonnets and Elegies,Louise; Sieburth Richard; Labé Louise; Labé Louise Labé,978-1590177310
The Right to Be Lazy,Paul; Andriesse Alex Lafargue,978-1681376820
The Variations,Patrick Langley,978-1681378398
The Bad Side of Books,D. H.; Dyer Geoff Lawrence,978-1681373638
The Radiance of the King,Camara Laye,978-1590174555
Wee Gillis,Munro; Lawson Robert Leaf,978-1590172063
The Stalin Front,Gert Ledig,978-1590171646
Reveille in Washington,Margaret Leech,978-1590174463
A Time of Gifts,Patrick Leigh Fermor,978-1590171653
A Time to Keep Silence,Patrick Leigh Fermor,978-1590172445
Between the Woods and the Water,Patrick Leigh Fermor,978-1590171660
Mani,Patrick Leigh Fermor,978-1590171882
Roumeli,Patrick Leigh Fermor,978-1590171875
The Broken Road,Patrick Leigh Fermor,978-1590177792
The Traveller's Tree,Patrick Leigh Fermor,978-1590173800
The Violins of Saint-Jacques,Patrick Leigh Fermor,978-1590177822
Lady Macbeth of Mtsensk,N. S.; Chandler Robert; Rayfield Donald Leskov,978-1681374901
Three Ladies Beside the Sea,Rhoda; Gorey Edward Levine,978-1590173541
Harrison Loved His Umbrella,Rhoda; Kuskin Karla Levine,978-1590179918
It Ain't Necessarily So,Richard C. Lewontin,978-0940322950
The Death of Napoleon,Simon Leys,978-1590178423
The Hall of Uselessness,Simon Leys,978-1590176207
Li Shangyin,Shangyin; Roberts Chloe Garcia; Graham A. C.; Klein Lucas Li,978-1681372242
Taka-chan and I,Betty Jean; Hosoe Eikō Lifton,978-1590175026
The Reckless Mind: Intellectuals in Politics,Mark Lilla,978-1681371160
The Shipwrecked Mind: On Political Reaction,Mark Lilla,978-1590179024
Soul of Wood,Jakov Lind,978-1590173305
The Magic Pudding,Norman Lindsay,978-1590179949
The Wind on the Moon,Eric; Bentley Nicolas Linklater,978-1681371030
A Year and a Day,Phillip Lopate,978-1681377780
Voices in the Dark,Ulli; Brownjohn John; Knight Nika; Cannon Kevin; Beyer Marcel Lust,978-1681371054
Three Summers,Margarita; Van Dyck Karen Lymperakē,978-1681373300
The Towers of Trebizond,Rose Macaulay,978-1590170588
Miami and the Siege of Chicago,Norman Mailer,978-1590172964
Kaputt,Curzio Malaparte,978-1590171479
The Kremlin Ball,Curzio Malaparte,978-1681372099
The Skin,Curzio Malaparte,978-1590176221
Diary of a Foreigner in Paris,Curzio; Twilley Stephen Malaparte,978-1681374161
The Voyage That Never Ends,Malcolm Lowry,978-1590172353
In the Freud Archives,Janet Malcolm,978-1590170274
Daybreak,Claire; Hacker Marilyn Malroux,978-1681375021
Fatale,Jean-Patrick Manchette,978-1590173817
Ivory Pearl,Jean-Patrick Manchette,978-1681372105
The Mad and the Bad,Jean-Patrick Manchette,978-1590177204
Nada,Jean-Patrick; Nicholson-Smith Donald Manchette,978-1681373171
The N'Gustro Affair,Jean-Patrick; Nicholson-Smith Donald; Indiana Gary Manchette,978-1681375120
No Room at the Morgue,Jean-Patrick; Waters Alyson Manchette,978-1681374185
Skeletons in the Closet,Jean-Patrick; Waters Alyson Manchette,978-1681377605
The Selected Poems of Osip Mandelstam,Osip; Brown Clarence; Merwin W. S.; Mandelʹshtam Osip Mandelʹshtam,978-1590170915
Voronezh Notebooks,Osip; Davis Andrew Mandelʹshtam,978-1590179109
Selected Poems of Osip Mandelsam,Osip Mandelstam,978-1590170915
Reflections of a Nonpolitical Man,Thomas; Morris Walter D.; Lilla Mark Mann,978-1681375311
Fortunes of War: The Balkan Trilogy,Olivia Manning,978-1590173312
Fortunes of War: The Levant Trilogy,Olivia Manning,978-1590177211
School for Love,Olivia Manning,978-1590173039
Walkabout,James Vance Marshall,978-1590174906
Uncle Cleans Up,J. P.; Blake Quentin Martin,978-1590172766
Uncle,J. P.; Blake Quentin; Gaiman Neil; Currey James Martin,978-1681371856
In the Eye of the Wild,Nastassja Martin,978-1681375854
The Box of Delights,John Masefield,978-1590172513
The Midnight Folk,John; Hilder Rowland Masefield,978-1590172902
The Moth Snowstorm,Michael McCarthy,978-1681372426
"Typewriters, Bombs, Jellyfish",Tom McCarthy,978-1681370866
Wolf Story,William; Chappell Warren McCleery,978-1590175897
Mawrdew Czgowchwz,James McCourt,978-0940322974
Masscult and Midcult,Dwight McDonald,978-1590174470
The Pornographer,John; Enright Anne McGahern,978-1681378800
Testing the Current,William McPherson,978-1590176023
Arvind Krishna Mehrotra,Arvind Krishna; Chaudhuri Amit; Ravinthiran Vidyan Mehrotra,978-1681374017
Proper Doctoring,David Mendel,978-1590176214
Ecstasy and Terror,Daniel Adam Mendelsohn,978-1681374055
Three Rings,Daniel Adam Mendelsohn,978-1681376394
Waiting for the Barbarians,Daniel Adam Mendelsohn,978-1590177136
Moral Agents: Eight Twentieth-Century American Writers,Edward Mendelson,978-1590177761
Need a House? Call Ms. Mouse!,George; Smith Doris Susan Mendoza,978-1681377360
The Pushcart War,Jean Merrill,978-1590179369
Really the Blues,Mezz & Wolfe Bernard Mezzrow,978-1590179451
Last Words from Montmartre,Qui Miaojin,978-1590177259
Notes of a Crocodile,Qui Miaojin,978-1681370767
A Certain Plume,Henri Michaux,978-1681372266
Miserable Miracle,Henri Michaux,978-1590170014
Hons and Rebels,Jessica Mitford,978-1590171103
Poison Penmanship,Jessica Mitford,978-1590173558
Frederick the Great,Nancy Mitford,978-1590176238
Madame de Pompadour,Nancy Mitford,978-0940322653
The Sun King,Nancy Mitford,978-1590174913
Voltaire in Love,Nancy Mitford,978-1590175781
Once and Forever,Kenji Miyazawa,978-1681372600
In the Café of Lost Youth,Patrick Modiano,978-1590179536
Young Once,Patrick Modiano,978-1590179550
"Last Letters: The Prison Correspondence, 1944-45",Helmuth James; Moltke Helmuth Caspar von; Moltke Dorothea von; Von Moltke Johannes; Frisch Shelley Laura; Moltke Freya von Moltke,978-1681373812
Medusa Beach,Melissa Monroe,978-1681374581
Shakespeare's Montaigne,Montaigne,978-1590177228
Late Montale,Eugenio; Bradley George Montale,978-1681378374
Butterfly of Dinard,Eugenio; Stransky Oonagh; Moffa Marla Montale,978-1681378169
Social Fiction,Chantal; Brock Geoffrey; Sudarsky Dean Montellier,978-1681377407
The Lonely Passion of Judith Hearne,Brian Moore,978-1590173497
The Mangan Inheritance,Brian Moore,978-1590174487
Lies and Sorcery,Elsa; McPhee Jenny Morante,978-1681376844
Agostino,Alberto Moravia,978-1590177235
Boredom,Alberto Moravia,978-1590171219
Contempt,Alberto Moravia,978-1590171226
Hav,Jan Morris,978-1590174494
The Communist,Guido Morselli,978-1681370781
Dissipatio H.G.,Guido; Randall Frederika Morselli,978-1681374765
The Pumpkin Eater,Penelope Mortimer,978-1590173824
Max Havelaar,Multatuli,978-1681372624
"Drafts, Fragments, and Poems",Joan; Ashbery John Murray,978-1681371825
Agathe,Robert; Agee Joel Musil,978-1681373836
The Adventures and Misadventures of Maqroll,Alvaro Mutis,978-0940322912
Maqroll’s Prayer and Other Poems,Álvaro; Andrews Chris; Grossman Edith; Reid Alastair Mutis,978-1590178744
The Root and the Flower,L.H. Myers,978-0940322608
It's Life as I See It,Dan; Johnson Charles Richard Nadel,978-1681375618
Reading and Writing,V. S. Naipaul,978-0940322387
After,Vivek; Vālmīki Narayanan,978-1681376462
China's New Rulers,Andrew J.; Gilley Bruce Nathan,978-1590170724
Twenty Days with Julian & Little Bunny by Papa,Nathaniel Hawthorne,978-1590170427
The House of Arden,E. Nesbit,978-1681376998
Amsterdam Stories,Nescio,978-1590174920
"Makers of Modern Architecture, Volume III",Margaret Cavendish of Newcastle,978-1681373027
Margaret Cavendish,Margaret Cavendish of Newcastle,978-1681371580
The King of Nothing,Raúl; Endor Saul Nieto Guridi,978-1681372907
Anti-Education,Friedrich Nietsche,978-1590178942
Moura,Nina Berberova,978-1590171370
"A Way of Life, Like Any Other",Darcy O'Brien,978-0940322790
Thus Were Their Faces,Silvina Ocampo,978-1590177679
Silvina Ocampo,Silvina; Weiss Jason Ocampo,978-1590177747
Envy,Yuri Olesha,978-1590170861
The Lore and Language of Schoolchildren,Iona & Peter Opie,978-0940322691
A Chill in the Air,Iris Origo,978-1681372648
Images and Shadows,Iris Origo,978-1681373652
The Merchant of Prato,Iris Origo,978-1681374208
War in Val d'Orcia,Iris Origo,978-1681372662
Kilometer 101,Maksim; Dralyuk Boris; Fleming Alex; Slater Nicolas Pasternak Osipov,978-1681376868
"Rock, Paper, Scissors",Maxim Osipov,978-1681373324
The Feeling Sonnets,Eugene Ostashevsky,978-1681377025
The Pirate Who Does Not Know the Value of Pi,Eugene Ostashevsky,978-1681370903
After Claude,Iris Owens,978-1590173633
Portraits without Frames,Lev Ozerov,978-1681372686
Portraits without Frames,Lev; Chandler Robert; Dralyuk Boris; Bloshteyn Maria R.; Mashinskai︠a︡ Irina Ozerov,978-1681372686
The Education of a Gardener,Russell Page,978-1590172315
Uncertain Manifesto,Frederik; Nicholson-Smith Donald Pajak,978-1681372860
Jimbo,Gary; Ruscha Edward; Rudick Nicole Panter,978-1681375267
The Murderess,Alexandros Papadiamantis,978-1590173503
Out of My Head,Tim Parks,978-1681373973
Where I'm Reading From,Tim Parks,978-1590178843
The If Borderlands,Elise Partridge,978-1681370361
Theorem,Pier Paolo Pasolini,978-1681377643
Boys Alive,Pier Paolo; Parks Tim Pasolini,978-1681377629
Letters to Gwen John,Celia Paul,978-1681376400
Self-Portrait,Celia Paul,978-1681374826
The Story of a Life,Konstantin; Smith Douglas Paustovsky,978-1681377223
The Moon and the Bonfires,Cesar Pavese,978-1590170212
The Selected Works of Cesare Pavese,Cesar Pavese,978-0940322851
Houses,Borislav Pekic,978-1590179475
Temptation,John; Baczoni Mark Pen,978-1681374376
More Was Lost,Eleanor Perenyi,978-1590179499
Tristana,Benito Perez Galdos,978-1590177655
Blackballed,Darryl Pinckney,978-1590177693
Blackballed: The Black Vote and US Democracy,Darryl Pinckney,978-1681375595
Lizard Music,Daniel Pinkwater,978-1681371849
The Late Mattia Pascal,Luigi Pirandello,978-1590171158
Glowrushes,Roberto; Janeczko Leah Piumini,978-1681377506
The Gray Notebook,Josep Pla,978-1590176719
Difficult Women,David Plante,978-1681371498
Chevengur,Andreĭ Platonovich; Chandler Robert; Chandler Elizabeth Platonov,978-1681377681
Happy Moscow,Andrey Platonov,978-1590175859
Soul,Andrey Platonov,978-1590172544
The Foundation Pit,Andrey Platonov,978-1590173053
Father and Son,E. O.; Schulze Elke Plauen,978-1681371207
Making It,Norman Podhoretz,978-1681370804
All of Us,Yvan; Ylla-Somers Christophe; Lehmann Anna Pommaux,978-1681373218
Vasko Popa,Vasko; Simic Charles Popa,978-1681373362
Morte D'Urban,J.F. Powers,978-0940322233
The Stories of J.F. Powers,J.F. Powers,978-0940322226
Wheat That Springeth Green,J.F. Powers,978-0940322240
Intelligence Wars (Revised and Expanded Edition),Thomas Powers,978-1590170984
Krabat and the Sorcerer’s Mill,Otfried Preussler,978-1681377919
The Little Water Sprite,Otfried; Bell Anthea; Gayler Winnie Preussler,978-1590179338
The Little Witch,Otfried; Bell Anthea; Gayler Winnie Preussler,978-1590179345
Inverted World,Christopher Priest,978-1590172698
Swann's Way,Marcel; Grieve James Proust,978-1681376295
The Provensen Book of Fairy Tales,Alice; Provensen Martin Provensen,978-1681375823
The Doll,Boleslaw Prus,978-1590173831
The White Stones,J. H. Prynne,978-1590179796
The Cretan Runner,George Psychoundakis,978-1590179048
Peter the Great's African,Aleksandr Sergeevich; Chandler Robert; Chandler Elizabeth; Dralyuk Boris; Pushkin Aleksandr Sergeevich; Pushkin Aleksandr Sergeevich; Pushkin Aleksandr Sergeevich; Pushkin Aleksandr Sergeevich Pushkin,978-1681375991
The Captain's Daughter,Alexander Pushkin,978-1590177242
Soft City,Chris; Herbert Martin Pushwagner; Ware,978-1681370460
We Always Treat Women Too Well,Raymond Queneau,978-1590170304
Witch Grass,Raymond Queneau,978-1590170311
The Skin of Dreams,Raymond; Clarke Chris Queneau,978-1681377704
Count d'Orgel's Ball,Raymond Radiguet,978-1590171387
Primitive Man as Philosopher,Paul Radin,978-1590177686
Shapeshifter,Alice Rahon,978-1681375007
The Interior Landscape,A. K. Ramanujan,978-1590176788
São Bernardo,Graciliano; Viswanathan Padma Ramos,978-1681373850
The Doorman's Repose,Christopher Raschka,978-1681371009
Alphabetabum,Christopher; Radunsky Vladimir Raschka,978-1590178171
The Resurgence of Central Asia,Ahmed Rashid,978-1681370880
Diary of a Man in Despair,Friedrich Reck,978-1590175866
The Ruling Clawss,A. Redfield,978-1681377414
Ounce Dice Trice,Alastair; Shahn Ben Reid,978-1590173206
Nature Stories,Jules Renard,978-1590173640
"Renoir, My Father",Jean Renoir,978-0940322776
Fragments of an Infinite Memory,Maël; Behrman de Sinéty Peter Renouard,978-1681372808
Pierre Reverdy,Pierre; Caws Mary Ann; Reverdy Pierre; Reverdy Pierre Reverdy,978-1590176795
Men and Gods,Rex Warner,978-1590172636
The New World,Chris; Park Ed; Seth Reynolds,978-1681372389
Abel and Cain,Gregor von; Cohen Joshua Rezzori,978-1681373256
The Word of the Speechless,Julio Ramón; Silver Katherine Ribeyro,978-1681373232
"Say Something Back & Time Lived, Without Its Flow",Denise Riley,978-1681373997
First Love,Gwendoline Riley,978-1681376905
My Phantoms,Gwendoline Riley,978-1681376813
The Drunken Boat,Arthur; Polizzotti Mark; Rimbaud Arthur; Rimbaud Arthur; Rimbaud Arthur; Rimbaud Arthur Rimbaud,978-1681376509
Stones of Aran: Labyrinth,Tim Robinson,978-1590173145
Stones of Aran: Pilgrimage,Tim Robinson,978-1590172773
Muhammad,Maxime; Carter Anne Rodinson,978-1681374925
The Three Christs of Ypsilanti,Milton Rokeach,978-1590173848
The Notebooks of Sonny Rollins,Sonny; Reese Sam V. H. Rollins,978-1681378268
Love's Work,Gillian Rose,978-1590173657
Talk,Linda Rosenkrantz,978-1590178447
Picture,Lillian Ross,978-1681373157
Sleep,Amelia; Schwabsky Barry Rosselli,978-1681377834
Classic Crimes,William Roughead,978-0940322462
American Humor,Constance Rourke,978-1590170793
Ernesto,Umberto Saba,978-1681370828
The Unrest-Cure and Other Stories,Saki,978-1590176245
Uncertain Glory,Joan Sales,978-1681371801
Season of Migration to the North,Tayeb Salih,978-1590173022
The Wedding of Zein,Tayeb Salih,978-1590173428
Bambi,Felix; Reitter Paul Salten,978-1681376318
Pittsburgh,Frank Santoro,978-1681377865
We Have Only This Life to Live,Jean-Paul Sartre,978-1590174937
Late Fame,Arthur Schnitzler,978-1681370842
Bina,Anakana Schofield,978-1681375496
Walter Benjamin,Gersholm Scholem,978-1590170328
Memoirs of My Nervous Illness,Daniel Paul Schreber,978-0940322202
Alfred and Guinevere,James Schuyler,978-0940322493
What's For Dinner?,James Schuyler,978-1590171677
The Bridge of Beyond,Simone Schwarz-Bart,978-1590176801
Equal Danger,Leonardo Sciascia,978-1590170625
The Day of the Owl,Leonardo Sciascia,978-1590170618
The Moro Affair,Leonardo Sciascia,978-1590170830
The Wine-Dark Sea,Leonardo Sciascia,978-0940322530
To Each His Own,Leonardo Sciascia,978-0940322523
"John Aubrey, My Own Life",Ruth Scurr,978-1681370422
The Mystery of Consciousness,John R.; Dennett D. C.; Chalmers David John Searle,978-0940322066
Tell Me a Mitzi,Lore Groszmann; Pincus Harriet Segal,978-1681377957
René Leys,Victor Segalen,978-1590170410
The Seventh Cross,Anna Seghers,978-1681372129
Transit,Anna Seghers,978-1590176252
The Dead Girls' Class Trip,Anna; Dembo Margot Bettauer Seghers,978-1681375359
Star 111,Lutz; Lewis Tess Seiler,978-1681378534
The Stammering Century,Gilbert Seldes,978-1590175804
Conquered City,Victor Serge,978-1590173664
Memoirs from Beyond the Grave: 1800-1815,Victor Serge,978-1681376172
Midnight in the Century,Victor Serge,978-1590177709
Notebooks,Victor Serge,978-1681372709
The Case of Comrade Tulayev,Victor Serge,978-1590170649
Unforgiving Years,Victor Serge,978-1590172476
Last Times,Victor; Manheim Ralph; Greeman Richard Serge,978-1681375144
Memoirs of a Revolutionary,Victor; Sedgwick Peter Serge,978-1590174517
The Orphic Voice,Elizabeth; Schenck David Sewell,978-1681376011
Kolyma Stories,Varlam Shalamov,978-1681372143
Sketches of the Criminal World,Varlam Shalamov,978-1681373676
Arabesques,Anton; Eden Vivian Sohn Shammas,978-1681376929
The Peach Blossom Fan,K'ung Shang-jen,978-1590178768
The Rescuers,Margery Sharp,978-1681370071
Blurry,Dash Shaw,978-1681378466
Discipline,Dash; Small Press Expo Collection (Library of Congress) Shaw,978-1681375694
The Golovlyov Family,Shchedrin,978-0940322578
Store of the Worlds,Robert Sheckley,978-1590174944
The Very Last Interview,David Shields,978-1681376424
No Ordinary Men,Elisabeth; Stern Fritz Sifton,978-1590176818
Act of Passion,Georges Simenon,978-1590173855
Dirty Snow,Georges Simenon,978-1590170434
Monsieur Monde Vanishes,Georges Simenon,978-1590170960
Pedigree,Georges Simenon,978-1590173510
Red Lights,Georges Simenon,978-1590171936
The Engagement,Georges Simenon,978-1590172285
The Man Who Watched Trains Go By,Georges Simenon,978-1590171493
The Strangers in the House,Georges Simenon,978-1590171943
The Widow,Georges Simenon,978-1590172612
Three Bedrooms in Manhattan,Georges Simenon,978-1590170441
Tropic Moon,Georges Simenon,978-1590171110
The Flanders Road,Claude Simon,978-1681375953
Mary Olivier,Mary Sinclair,978-0940322868
Carbonel and Calidor,Barbara; Front Charles Sleigh,978-1681376691
The Kingdom of Carbonel,Barbara; Kennedy Richard Sleigh,978-1590173152
The Unpossessed,Tess Slesinger,978-1590170144
The Rim of Morning,William Sloane,978-1590179062
The Stone Face,William Gardner; Shatz Adam Smith,978-1681375168
A School for Fools,Sasha Sokolov,978-1590178461
Lost Property,Ben Sonnenberg,978-1681374222
Ice Trilogy,Vladimir Sorokin,978-1590173862
The Queue,Vladimir Sorokin,978-1590172742
Blue Lard,Vladimir; Lawton Max Sorokin,978-1681378183
Telluria,Vladimir; Lawton Max Sorokin,978-1681376332
Red Pyramid,Vladimir; Lawton Max; Self Will Sorokin,978-1681378206
The Gate,Natsume Soseki,978-1590175873
After Lorca,Jack; Gizzi Peter Spicer,978-1681375410
The Judges of the Secret Court,David Stacton,978-1590174524
Boston Adventure,Jean Stafford,978-1681375373
The Mountain Lion,Jean Stafford,978-1590173527
MacDoodle St.,Mark Alan; Feiffer Jules Stamaty,978-1681373423
Catlantis,Anna; Klimowski Andrzej; Bugaeva Jane Starobinet︠s︡,978-1681370002
Letty Fox: Her Luck,Christina Stead,978-0940322295
Flaubert and Madame Bovary,Francis Steegmuller,978-1590171165
The Labyrinth,Saul; Baker Nicholson; Rosenberg Harold Steinberg,978-1681372433
The Life of Henry Brulard,Stendhal,978-0940322899
Other Men's Daughters,Richard Stern,978-1681371511
Names on the Land,George R. Stewart,978-1590172735
Storm,George R. Stewart,978-1681375182
Fire,George R.; Rothschild Emma Stewart,978-1681378473
Rock Crystal,Adalbert Stifter,978-1590172858
Motley Stones,Adalbert; Cole Isabel Fargo Stifter,978-1681375205
The Rider on the White Horse,Theodor Storm,978-1590173015
The Complete Polly and the Wolf,Catherine; Watts Marjorie-Ann; Bennett Jill Storr,978-1681370019
Things That Bother Me,Galen Strawson,978-1681372204
Alice James,Jean Strouse,978-1590174531
Belchamber,Howard Sturgis,978-1590172667
Ninja Sarutobi Sasuke,Shigeru; Holmberg Ryan Sugiura,978-1681377858
As a Man Grows Older,Italo Svevo,978-0940322844
Nights in the Gardens of Brooklyn,Harvey Swados,978-1590170847
The Quest for Corvo,A.J.A. Symons,978-0940322615
Iza's Ballad,Magda Szabo,978-1681370347
Katalin Street,Magda Szabo,978-1681371528
The Door,Magda Szabo,978-1590177716
The Fawn,Magda Szabó,978-1681377377
Abigail,Magda; Rix L. B. Szabó,978-1681374031
Journey by Moonlight,Antal Szerb,978-1590177730
Divorcing,Susan; Rieff David Taubes,978-1681374949
Lament for Julia,Susan; Wade Francesca Taubes,978-1681376943
A Game of Hide and Seek,Elizabeth Taylor,978-1590174968
A Traveller in Time,Elizabeth Taylor,978-1681374482
A View of the Harbour,Elizabeth Taylor,978-1590178485
Angel,Elizabeth Taylor,978-1590174975
You'll Enjoy It When You Get There,Elizabeth Taylor,978-1590177273
Mrs. Palfrey at the Claremont,Elizabeth; Hofmann Michael Taylor,978-1681375649
The Little Woman Wanted Noise,Val; Lawson Robert Teal,978-1590177112
Memories,Teffi,978-1590179512
"Tolstoy, Rasputin, Others, and Me",Teffi,978-1590179963
Other Worlds,N. A.; Chandler Robert Tėffi,978-1681375397
Käsebier Takes Berlin,Gabriele; Duvernoy Sophie Tergit,978-1681372723
Winter in Wartime,Jan; Watkinson Laura Terlouw,978-1681374260
The Journal 1837–1861,Henry David Thoreau,978-1590173213
The Book of Blam,Aleksandar Tisma,978-1590179208
The Use of Man,Aleksandar Tisma,978-1590177266
Kapo,Aleksandar; Rieff David; Williams Richard Tišma,978-1681374390
The Slynx,Tatyana Tolstaya,978-1590171967
White Walls,Tatyana Tolstaya,978-1590171974
The Life of Lazarillo de Tormes,Tormes,978-1590171325
Vivaldi,Helge; Johnsen Mari Kanstad; Shaterian Jeanie Torvund,978-1681373744
Wilding,Isabella Tree,978-1681373713
"Records of Shelley, Byron, and the Author",Edward John Trelawny,978-0940322363
The Frog in the Well,Alvin; Duvoisin Roger Tresselt,978-1681370965
The Liberal Imagination,Lionel Trilling,978-1590172834
The Middle of the Journey,Lionel Trilling,978-1590170151
The Other,Thomas Tryon,978-1590175835
Slum Wolf,Tadao; Holmberg Ryan Tsuge,978-1681371740
The Man Without Talent,Yoshiharu; Holmberg Ryan Tsuge,978-1681374437
Woman Running in the Mountains,Yūko; Harcourt Geraldine Tsushima,978-1681375977
Earthly Signs,Marina Tsvetaeva,978-1681371627
Three by Tsvetaeva,Marina; Davis Andrew T︠S︡vetaeva,978-1681378329
Castle Gripsholm,Kurt; Hofmann Michael Tucholsky,978-1681373348
Virgin Soil,Ivan Turgenev,978-0940322455
Fathers and Children,Ivan Sergeevich; Slater Nicolas Pasternak; Slater Maya Turgenev,978-1681376356
My Death,Lisa Tuttle,978-1681377728
The Child,Jules Valles,978-1590171172
Shakespeare,Mark van Doren,978-1590171684
Austerity Measures,various authors,978-1681371146
Go Figure! New Perspectives on Guston,various authors,978-1590178782
Letters,various authors,978-0940322714
Poems of the Late T'ang,various authors,978-1590172575
Shadows of Carcosa,various authors,978-1590179437
The Backward Day,various authors,978-1681378428
The Colour Out of Space,various authors,978-1590170267
"The Fire Horse: Children's Poems by Mayakovsky, Mandelstam, and Kharms",various authors,978-1681370927
The Haunted Looking Glass,various authors,978-0940322684
The New York Review Abroad,various authors,978-1590176313
The Red Thread: Twenty Years of NYRB Classics,various authors,978-1681373911
The Stray Dog Cabaret,various authors,978-1590171912
The Stuffed Owl,various authors,978-1590170380
Unknown Masterpieces,various authors,978-1590170779
Writing Politics,various authors,978-1681374628
The Projector and Elephant,Martin; Seth; Heer Jeet; Vaughn-James Martin; Vaughn-James Martin Vaughn-James,978-1681374840
Before Nightfall,Silvia; Sualzo; Brock Geoffrey Vecchini,978-1681377926
The Kindness of Strangers,Salka Viertel,978-1681372747
The Enchanted April,Elizabeth von Arnim,978-1590172254
The Lord Chandos Letter and Other Writings,Hugo von Hofmannsthal,978-1590171202
An Ermine In Czernopol,Gregor von Rezzori,978-1590173411
Memoirs of an Anti-Semite,Gregor von Rezzori,978-1590172469
The Snows of Yesteryear,Gregor von Rezzori,978-1590172810
W the Whore,Katrin de; Feuchtenberger Anke; Nevins Mark Vries,978-1681376721
An Invitation for Me to Think,Aleksandr I.; Ostashevsky Eugene Vvedenskij,978-1590176306
The Tenants of Moonbloom,Edward Lewis Wallant,978-1590170700
A Schoolboy's Diary and Other Stories,Robert Walser,978-1590176726
Berlin Stories,Robert Walser,978-1590174548
"Girlfriends, Ghosts, and Other Stories",Robert Walser,978-1681370163
Jakob von Gunten,Robert Walser,978-0940322219
Selected Stories of Robert Walser,Robert Walser,978-0940322981
Little Snow Landscape,Robert; Whalen Tom Walser,978-1681375229
Political Action,Michael Walzer,978-1681373539
A Summer Day in the Company of Ghosts,Yin; Lingenfelter Andrea; Wang Yin; Wang Yin Wang,978-1681376486
Esmond and Ilia,Marina; Herxheimer Sophie Warner,978-1681376448
Lolly Willowes,Sylvia Townsend Warner,978-0940322165
Mr. Fortune,Sylvia Townsend Warner,978-1590174586
Summer Will Show,Sylvia Townsend Warner,978-1590173169
The Corner That Held Them,Sylvia Townsend; Harman Claire Warner,978-1681373874
My Marriage,Jakob Wassermann,978-1590179222
My Century,Aleksander Wat,978-1590170656
Heaven's Breath,Lyall Watson,978-1681373690
Charisma and Disenchantment,Max; Weber Max; Weber Max Weber,978-1681373898
The Thirty Years War,C.V. Wedgwood,978-1590171462
On the Abolition of All Political Parties,Simone Weil,978-1590177815
War and the Iliad,Simone & Bespaloff Rachel Weil,978-1590171455
Basic Black with Pearls,Helen Weinzweig,978-1681372167
Apartment in Athens,Glenway Wescott,978-1590170816
The Pilgrim Hawk,Glenway Wescott,978-1590174579
The Fountain Overflows,Rebecca West,978-1590170342
Ghosts,Edith Wharton,978-1681375724
The New York Stories of Edith Wharton,Edith Wharton,978-1590172483
Onward and Upward in the Garden,Katherine White,978-1590178508
Riders in the Chariot,Patrick White,978-1590170021
Mistress Masham's Repose,T. H.; Eichenberg Fritz White,978-1590171035
The Goshawk,T.H. White,978-1590172490
Drum-Taps,Walt; Kramer Lawrence Whitman,978-1590178621
Return to Romance,Ogden; Finck Liana; Nadel Dan; Santoro Frank; Nadel Dan Whitney,978-1681373447
Nachoem M. Wijnberg,Nachoem M.; Colmer David Wijnberg,978-1681376523
Lakdhas Wikkramasinha,Lakdhas; Ondaatje Michael; Halpé Aparna; Măddēgama Udaya Praśānta Wikkramasinha,978-1681377346
The Adventures of Anatole,Nancy; McPhail David Willard,978-1681372921
Augustus,John Williams,978-1590178218
Butcher's Crossing,John Williams,978-1590171981
Nothing but the Night,John Williams,978-1681373072
Stoner,John Williams,978-1590171998
English Renaissance Poetry,John (editor) Williams,978-1590179772
Tarka the Otter,Henry; Tunnicliffe C. F.; Klinkenborg Verlyn Williamson,978-1681374246
Alive,Elizabeth Willis,978-1590178645
Anglo-Saxon Attitudes,Angus Wilson,978-1590171424
Memoirs of Hecate County,Edmund Wilson,978-1590170939
To the Finland Station,Edmund Wilson,978-1590170335
Mud Pies and Other Recipes,Marjorie; Blegvad Erik Winslow,978-1590173688
Born Under Saturn,Margot & Rudolf Wittkower,978-1590172131
Black Sun,Geoffrey Wolff,978-1590170663
Germs,Richard; Heti Sheila Wollheim,978-1681374963
The Complete Fiction,Francis Wyndham,978-1590173121
Chocky,John Wyndham,978-1590178522
The Chrysalids,John Wyndham,978-1590172926
Mourning a Breast,Xi; Feeley Jennifer Xi,978-1681378220
My Stupid Intentions,Bernardo; Andriesse Alex Zannoni,978-1681377285
Written on Water,Ailing Zhang,978-1681375762
The Burning of the World,Bela Zombory-Moldovan,978-1590178096
INRI,Raúl; Rowe William; Cole Norma Zurita,978-1681372785
Beware of Pity,Stefan Zweig,978-1590172001
Chess Story,Stefan Zweig,978-1590171691
Confusion,Stefan Zweig,978-1590174999
Journey Into the Past,Stefan Zweig,978-1590173671
The Post-Office Girl,Stefan Zweig,978-1590172629
Poor Helpless Comics!,Ed Subitzky,978-1681377872
"The Company They Kept, Volume Two",Robert B. Silvers,978-1590174876
The Elephant Who Liked to Smash Small Cars,Jean Merrill,978-1590178720
